name,group,Region,empchange,popchange
Billingham BUASD,Other,North East,3.934,-1.984
Accrington BUASD,Other,North West,2.973,2.583
Fulwood BUASD,Other,North West,-1.900,-1.411
Redcar BUASD,Other,North East,-10.440,1.278
Chester-le-Street BUASD,Other,North East,-5.333,2.116
Port Talbot BUASD,Other,Wales,4.838,2.225
Leighton Buzzard BUA,Other,East of England,9.625,14.258
Hatfield BUASD,Other,East of England,133.890,25.237
Arnold BUASD,Other,East Midlands,-11.775,4.140
Bishop's Stortford BUA,Other,East of England,20.160,7.737
Ilkeston BUASD,Other,East Midlands,8.925,3.263
Tonbridge BUA,Other,South East,1.946,8.112
Fleet BUA,Other,South East,37.115,7.319
Eccles BUASD,Other,North West,60.633,5.535
Leyland BUASD,Other,North West,63.202,2.021
Trowbridge BUASD,Other,South West,-0.722,12.296
Bridgwater BUA,Other,South West,-6.722,9.996
Braintree BUASD,Other,East of England,8.364,8.337
Dover BUA,Other,South East,22.792,9.864
Andover BUASD,Other,South East,22.595,13.017
Hoddesdon BUASD,Other,East of England,31.369,5.212
Lytham St Anne's BUASD,Other,North West,11.636,4.171
Jarrow BUASD,Other,North East,-4.732,-0.876
Northwich BUASD,Other,North West,6.874,3.445
West Bridgford BUASD,Other,East Midlands,-9.848,6.101
Yeovil BUA,Other,South West,-6.873,6.495
Cheshunt BUASD,Other,East of England,-27.040,3.073
Cwmbran BUASD,Other,Wales,14.871,0.130
Lancaster BUASD,Other,North West,-5.845,8.673
Welwyn Garden City BUASD,Other,East of England,25.664,6.778
Shoreham-by-Sea BUASD,Other,South East,21.084,4.752
Smethwick BUASD,Other,West Midlands,-8.144,11.531
Sittingbourne BUA,Other,South East,15.240,9.689
Torquay BUASD,Other,South West,-2.276,3.113
Crosby BUASD,Other,North West,3.460,-0.208
Clacton-on-Sea BUA,Other,East of England,-3.245,4.955
Neath BUASD,Other,Wales,22.116,0.915
Kingswinford BUASD,Other,West Midlands,-2.684,0.268
Esher BUASD,Other,South East,6.045,4.843
Folkestone BUASD,Other,South East,-12.427,6.263
Willenhall BUASD,Other,West Midlands,15.509,4.668
Ewell BUASD,Other,South East,-7.169,5.366
Canterbury BUASD,Other,South East,8.932,21.479
Littlehampton BUASD,Other,South East,26.845,5.641
Royal Leamington Spa BUASD,Other,West Midlands,-1.275,1.716
Macclesfield BUASD,Other,North West,7.562,1.334
Aldershot BUASD,Other,South East,11.687,3.774
Bebington BUASD,Other,North West,31.576,2.014
Loughborough BUA,Other,East Midlands,-1.064,11.323
Hereford BUA,Other,West Midlands,2.204,6.916
Taunton BUASD,Other,South West,-3.298,3.524
Margate BUASD,Other,South East,12.333,8.109
Widnes BUA,Other,North West,41.314,5.221
Wrexham BUASD,Other,Wales,-4.756,1.821
Runcorn BUASD,Other,North West,27.288,1.087
Stourbridge BUASD,Other,West Midlands,1.170,1.707
Bognor Regis BUA,Other,South East,5.209,8.744
Grays BUASD,Other,East of England,9.415,13.580
Bamber Bridge BUASD,Other,North West,-4.627,1.691
Cannock BUASD,Other,West Midlands,-1.935,3.710
Stafford BUASD,Other,West Midlands,-12.924,4.720
Atherton BUASD,Other,North West,9.561,3.889
Rugby BUASD,Other,West Midlands,21.895,9.790
Lowestoft BUA,Other,East of England,1.472,2.468
Shrewsbury BUA,Other,West Midlands,-0.618,6.759
Aylesbury BUASD,Other,South East,20.355,20.011
Tamworth BUASD,Other,West Midlands,8.917,0.544
Batley BUASD,Other,Yorkshire and The Humber,7.485,4.532
Stockton-on-Tees BUASD,Other,North East,20.224,2.468
Weston-Super-Mare BUASD,Other,South West,7.221,5.352
Nuneaton BUASD,Other,West Midlands,24.398,3.777
Hartlepool BUASD,Other,North East,4.659,1.330
Hemel Hempstead BUASD,Other,East of England,27.696,10.024
Oldham BUASD,Other,North West,-0.101,10.423
Worcester BUASD,Other,West Midlands,5.949,5.383
St Helens BUASD,Other,North West,-0.563,2.122
Salford BUASD,Other,North West,-12.349,18.397
Gillingham BUASD,Other,South East,6.120,5.822
Crawley BUASD,Other,South East,73.232,7.405
Maidstone BUA,Other,South East,2.489,12.475
Rochdale BUASD,Other,North West,-12.289,4.443
Worthing BUASD,Other,South East,7.122,6.473
Exeter BUASD,Other,South West,17.829,11.619
Cheltenham BUA,Other,South West,9.549,2.791
Blackburn BUASD,Other,North West,11.355,2.582
Watford BUASD,Other,East of England,46.395,10.213
Birkenhead BUASD,Other,North West,3.422,2.135
Poole BUASD,Other,South West,3.864,4.192
Oxford BUASD,Other,South East,12.283,6.675
Sunderland BUASD,Other,North East,-3.355,0.233
Swindon BUASD,Other,South West,-1.333,7.362
Bolton BUASD,Other,North West,-1.565,5.678
Reading BUASD,Other,South East,4.247,6.368
Bude BUASD,Most Deprived Working,South West,-2.611,11.280
Coleford BUASD,Most Deprived Working,South West,27.597,6.073
South Molton BUA,Most Deprived Working,South West,102.584,5.784
Bungay BUA,Most Deprived Working,East of England,-1.843,0.804
Church BUASD,Most Deprived Working,North West,1.538,-1.598
Northwood BUASD,Most Deprived Working,East of England,-1.432,6.083
Wigton BUA,Most Deprived Working,North West,1.537,2.801
Ventnor BUA,Most Deprived Working,South East,-2.853,-4.961
Newbiggin-by-the-Sea BUA,Most Deprived Working,North East,29.484,2.234
Skelton (Redcar and Cleveland) BUA,Most Deprived Working,North East,-18.373,6.223
Brigg BUA,Most Deprived Working,Yorkshire and The Humber,-12.647,2.004
Horncastle BUA,Most Deprived Working,East Midlands,-12.457,7.378
Pershore BUASD,Most Deprived Working,West Midlands,92.007,8.193
Swaffham BUA,Most Deprived Working,East of England,15.581,12.836
Norton Canes BUA,Most Deprived Working,West Midlands,313.309,-0.552
Launceston BUASD,Most Deprived Working,South West,-25.960,17.062
Okehampton BUA,Most Deprived Working,South West,-15.031,14.351
Freshwater BUA,Most Deprived Working,South East,8.999,-1.386
Cromer BUASD,Most Deprived Working,East of England,8.800,0.138
Totnes BUA,Most Deprived Working,South West,-15.297,4.489
Alnwick BUA,Most Deprived Working,North East,-16.441,-0.578
Stakeford BUASD,Most Deprived Working,North East,8.594,-3.838
Caister-on-Sea BUA,Most Deprived Working,East of England,-7.869,1.402
Liskeard BUA,Most Deprived Working,South West,9.795,5.022
Caernarfon BUASD,Most Deprived Working,Wales,-10.551,4.028
Brierfield BUASD,Most Deprived Working,North West,542.390,6.833
Brandon (County Durham) BUA,Most Deprived Working,North East,192.349,7.623
Pembroke Dock BUA,Most Deprived Working,Wales,-16.876,1.019
Ferryhill BUA,Most Deprived Working,North East,7.128,-5.455
St Ives (Cornwall) BUA,Most Deprived Working,South West,7.144,-3.083
Waltham Cross BUASD,Most Deprived Working,East of England,16.867,7.607
South Elmsall BUASD,Most Deprived Working,Yorkshire and The Humber,29.791,4.428
Ludlow BUA,Most Deprived Working,West Midlands,4.520,2.261
Atherstone BUASD,Most Deprived Working,West Midlands,66.715,7.498
Mossley BUASD,Most Deprived Working,North West,4.769,6.575
Leominster BUA,Most Deprived Working,West Midlands,-5.177,6.096
Market Drayton BUA,Most Deprived Working,West Midlands,11.604,6.484
Hetton-le-Hole BUASD,Most Deprived Working,North East,-6.046,1.364
Chard BUA,Most Deprived Working,South West,6.966,5.568
Whitby BUA,Most Deprived Working,Yorkshire and The Humber,-3.614,-2.805
Berwick-upon-Tweed BUA,Most Deprived Working,North East,8.180,3.685
Houghton-le-Spring BUASD,Most Deprived Working,North East,39.847,2.665
Beccles BUA,Most Deprived Working,East of England,-5.483,2.630
Bodmin BUA,Most Deprived Working,South West,8.820,9.634
Llandudno BUA,Most Deprived Working,Wales,8.647,0.366
South Normanton BUASD,Most Deprived Working,East Midlands,47.343,4.963
Elland BUA,Most Deprived Working,Yorkshire and The Humber,41.149,5.465
Penzance BUASD,Most Deprived Working,South West,-10.359,-0.488
Louth BUA,Most Deprived Working,East Midlands,-1.439,3.182
Haydock BUASD,Most Deprived Working,North West,19.719,-0.468
Selby BUASD,Most Deprived Working,Yorkshire and The Humber,4.744,11.605
Croesowallt BUA,Most Deprived Working,West Midlands,17.506,7.635
