AREANM,AREACD,Distance,mapvar,Health (Q),Retail (47),Education (P),Manufacturing (C),Public admin (O),"Wholesale (45,46,48)",Food and drink (56),Transport (H),Professional (M),Construction (F),Admin (N),Finance (K),"Other Services (S, T, U)",Arts (R),Information and communication (J),"Agriculture, Electricity, Water, Mining (A,B,D,E)",Real estate (L),Accommodation (55)
Daventry,E07000151,lessthantwokm,39.53966825,1.918477562,2.27594188,2.723415199,2.996013887,1.260126013,3.104024688,0.995242381,3.098881317,0.756075608,0.951523724,1.24983927,0.164587887,0.383181175,0.648064806,0.282885431,0.522052206,0.285457117,0.686640093
Denbighshire,W06000004,lessthantwokm,48.53537413,8.679797519,3.161960511,2.492622892,2.672552359,1.928843893,1.156346712,1.393853609,0.88765204,0.861262385,1.163543891,0.767699062,0.482210973,0.712520692,0.561379939,0.307079625,0.470215676,0.424633544,0.868459564
Derby UA,E06000015,lessthantwokm,61.93819208,8.083439885,5.050943685,4.208181548,8.103543943,2.197775687,2.300708467,1.935618763,1.987889315,2.056243114,1.649336968,1.730557365,0.735004383,0.892620202,0.767975039,0.90227015,0.490539029,0.657804798,0.309602503
Derbyshire Dales,E07000035,lessthantwokm,36.99447272,2.607672522,2.624090188,2.213648553,2.503693975,1.116401248,1.31614951,1.61987632,0.848246046,0.78804794,1.258687681,0.539046681,0.259946369,0.432331855,0.976851092,0.210693373,1.171126799,0.391287692,0.705959613
Doncaster,E08000017,lessthantwokm,55.53847834,6.80158532,5.852889777,3.645768319,3.93833479,2.602671327,2.856228935,1.856041693,2.652602671,1.082105854,2.049525652,1.645393833,1.050118587,0.817625764,0.792660092,0.684215454,0.72790538,0.294126826,0.294907003
Dorset,E06000059,lessthantwokm,46.73883049,3.749090635,3.370293254,3.113162582,3.253016582,2.044502421,1.587311542,1.411710107,0.791460753,1.088101748,1.482577829,0.854802699,0.47224243,0.763866242,0.707422924,0.313573991,0.693625668,0.408900484,0.63404661
Dover,E07000108,lessthantwokm,49.33908574,3.765834404,2.70332293,2.765283642,2.444005875,2.138791996,1.381494401,1.429686066,3.497337984,2.239765008,0.966128144,1.269047182,0.293739673,0.615017441,0.47962181,0.146869837,0.592069029,0.270791261,0.454378557
Dudley,E08000027,lessthantwokm,66.33029523,7.747576107,6.483357687,4.786431045,7.297914766,3.539973036,3.615051142,1.93992137,1.70742143,1.576640214,2.53893163,2.022265098,1.063202848,0.912239345,0.768541467,0.712031065,0.654713371,0.511015492,0.296275965
Ealing,E09000009,lessthantwokm,50.16946865,4.799862026,5.209286282,4.299704555,2.955953149,1.623449662,2.706999205,1.891899999,3.464359094,2.109359768,1.369996551,1.808665397,0.661377645,0.935826872,0.710868489,1.427735869,0.292445897,0.679374316,0.212210741
East Cambridgeshire,E07000009,lessthantwokm,40.94036697,2.640800204,2.787334353,2.790519878,3.570973496,0.458715596,1.860346585,0.837793068,2.121559633,1.417558614,1.621432212,1.025739042,0.337665647,0.707186545,0.729485219,0.401376147,1.97183996,0.328109072,0.124235474
