name,International_net_migration,Short-Term_International_Migration_Inflow_Estimates,Non-British_Estimate_%,Non-UK_born_%,Live_births_to_non-UK_born_mothers_%,"New_Migrant_GP_Registrations_per_1,000_pop","Migrant_NINo_Registrations_per_1,000_pop",name2
Richmond upon Thames,3.1,2.047173831,13.6,21.2,41.2,16.70189843,21.12821984,RichmonduponThames
Richmondshire,1.8,0.180198566,4.1,4.1,17.3,2.233306037,11.96419604,Richmondshire
Rochdale,4.6,0.641683936,9,15.2,23.7,6.888256656,10.625476,Rochdale
Rochford,0.8,0.125140086,-10000000,3.5,7.2,1.400723707,2.038241289,Rochford
Rossendale,1,0.075218734,2.9,2.9,8.6,1.416592737,1.810639224,Rossendale
Rother,0.6,1.022795008,5.5,8.8,9.6,4.307810713,5.597425184,Rother
Rotherham,1.7,0.47363753,5,6.6,14.1,3.737639827,5.787841191,Rotherham
Rugby,0.7,3.036627095,12.7,16.7,28.4,12.09844435,26.83863626,Rugby
Runnymede,9.1,7.192330802,12.8,14,24.6,17.12529779,25.70240425,Runnymede
Rushcliffe,1.7,0.548448785,2.7,5.3,12.1,3.602305476,4.122656128,Rushcliffe
Rushmoor,4.4,1.280881901,6.4,7.4,30.6,12.90396254,18.19550759,Rushmoor
Rutland,1.5,0.444077783,5.7,8.6,16.4,5.983525877,3.697834126,Rutland
Ryedale,0.6,0.671385485,-10000000,1.9,6.8,4.300190704,7.694784288,Ryedale
Salford,8,2.880534401,13.9,15.1,27.8,16.5804942,23.53323801,Salford
Sandwell,7.7,1.934738401,12.8,18.4,34.8,15.01958403,24.7378021,Sandwell
Scarborough,0.4,0.763525811,4.7,7.5,9.3,4.924692091,11.73463647,Scarborough
Scottish Borders,0,-1000000,3.5,5.3,12.8,-1000000,5.433111225,ScottishBorders
Sedgemoor,1.9,1.053834792,3.3,6.7,13.7,5.327909351,13.57233247,Sedgemoor
Sefton,0.3,0.537580531,3,4.5,9.4,3.128406882,7.323021902,Sefton
Selby,1.3,0.584887266,3.5,5.8,10.5,3.646139823,6.450650658,Selby
Sevenoaks,1.9,0.849672817,4.2,6.8,15.6,5.531214853,10.01949817,Sevenoaks
Sheffield,8.3,4.752152203,8.8,12.5,27.5,16.59298187,13.84494298,Sheffield
Shepway,1.6,0.552907827,3.7,8.3,18.5,4.946487994,7.942062502,Shepway
Shetland Islands,1.7,-1000000,-10000000,-10000000,9,-1000000,9.475418841,ShetlandIslands
Shropshire,1,0.747032968,3.3,4.9,9.8,4.821730015,7.208969262,Shropshire
Slough,8.3,4.425431471,23.8,41.5,64.5,22.1360094,46.74617197,Slough
Solihull,1.5,0.840586396,4.8,9,13.5,4.523925332,5.999557927,Solihull
Somerset,0.5,1.318373447,4.3,7.9,13.7,6.95972496,12.16157836,Somerset
South Ayrshire,0.3,-1000000,2.7,3.6,5.4,-1000000,4.803344551,SouthAyrshire
South Bucks,2.2,1.449197541,10.1,21.7,24,8.185421334,13.80024566,SouthBucks
South Cambridgeshire,2.2,1.812378287,12.8,14.7,26.7,8.570442519,14.75968474,SouthCambridgeshire
South Derbyshire,0.3,0.294150829,5.1,7.1,8.1,2.202643172,3.575985759,SouthDerbyshire
South Gloucestershire,2.7,1.857106042,4.7,6.9,19,9.181515941,12.41443256,SouthGloucestershire
South Hams,-0.1,0.553349833,2.4,7.2,9.7,3.238203687,6.669036021,SouthHams
South Holland,8.3,4.955914067,13.2,15.4,30,14.11453992,37.58251053,SouthHolland
South Kesteven,0.7,1.28293848,6.5,9.4,17.9,5.870478555,9.340554469,SouthKesteven
South Lakeland,0.1,1.542919974,3,5,12,6.739353564,14.37430488,SouthLakeland
South Lanarkshire,0.4,-1000000,2.2,3.8,8,-1000000,4.422008489,SouthLanarkshire
South Norfolk,1.1,0.650124664,4.6,6.9,11,2.935928996,5.732550014,SouthNorfolk
South Northamptonshire,2,0.489009284,1.1,3.4,10.7,3.423781945,5.747547225,SouthNorthamptonshire
South Oxfordshire,0.6,1.155078747,8.1,11,20.2,7.449611954,13.18979381,SouthOxfordshire
South Ribble,0.5,0.313845592,2.8,4.6,6.8,1.888882835,3.133353133,SouthRibble
South Somerset,-0.1,1.026285538,6.1,8,12.9,6.622596517,12.41082975,SouthSomerset
South Staffordshire,0.7,0.125025978,2.8,5.5,4.6,1.007375427,2.963885061,SouthStaffordshire
South Tyneside,1.3,2.195008783,2.7,4.1,6.9,2.757365244,3.052685509,SouthTyneside
South Yorkshire (Met County),5.3,2.776592961,6.7,8.9,19.8,10.60529153,13.25648873,SouthYorkshireMetCounty
Southampton,14.1,5.963441917,19.7,22.9,34.8,26.47920558,33.25394073,Southampton
Southend-on-Sea,0.3,1.087957695,6.7,10.6,21.4,6.145751645,11.30581739,SouthendonSea
Southwark,14.7,6.859224872,22.1,36.2,58.3,28.5164244,49.46479854,Southwark
Spelthorne,3.1,1.734493618,16.2,17.2,32.1,9.413358678,16.98076486,Spelthorne
St Albans,1,1.155377538,8.2,16.4,27.4,9.74829439,12.90474218,StAlbans
St Edmundsbury,-0.9,0.900688348,7.3,9.1,21,6.437160212,11.39803044,StEdmundsbury
St Helens,0.9,0.309199489,3.4,4.5,6.2,2.202235858,4.42839253,StHelens
Stafford,3.7,2.456059202,3.8,5.3,13.7,5.113488129,11.39131594,Stafford
Staffordshire,2.7,1.250075101,3.8,5.5,12.1,4.49302405,8.939153192,Staffordshire
Staffordshire Moorlands,0.8,0.165138663,1,2.1,4.6,1.060477827,1.950618551,StaffordshireMoorlands
Stevenage,2.7,1.289494704,9.2,13.8,24.3,10.35817228,16.07579353,Stevenage
Stirling,4.7,-1000000,4.5,6.7,13.3,-1000000,11.70436612,Stirling
Stockport,0.9,0.536268791,5.6,8.4,12.9,3.224840565,5.21056067,Stockport
Stockton-on-Tees,4,0.549936709,4.1,7.3,10.1,5.243227498,5.102788222,StocktononTees
Stoke-on-Trent,5.2,2.078042197,9.2,12,22,9.461903596,21.2388159,StokeonTrent
Stratford-on-Avon,2.1,2.748152151,3.3,5.8,14.5,6.97602146,15.97331185,StratfordonAvon
Stroud,0.9,0.592476119,1.7,2.6,9.3,3.35659093,4.521936353,Stroud
Suffolk,-0.5,1.2439606,7.7,10.1,21.2,7.201378285,13.49256252,Suffolk
Suffolk Coastal,-1.2,1.451308388,6.6,10.7,12.4,4.930332262,9.229160189,SuffolkCoastal
Sunderland,4.3,2.131223028,1.5,3.3,8.1,4.572567473,5.879034078,Sunderland
Surrey,3.9,2.298382965,8.9,14.4,27.3,11.32209538,17.37214752,Surrey
Surrey Heath,1.9,1.178456678,7,9.3,25.5,7.738694604,12.4410518,SurreyHeath
Sutton,2.4,1.288998473,15.3,23.8,41.1,9.563841361,15.89557426,Sutton
Swale,5.4,2.370457953,2.8,4.3,10.9,7.108285876,19.33174494,Swale
Swansea / Abertawe,7.5,2.711703591,7.1,10,16.4,10.34709811,11.22763647,SwanseaAbertawe
Swindon,2.8,2.790264064,13.8,17.4,29.1,15.01571786,23.69369885,Swindon
Tameside,1.5,0.387551279,6.4,10,15.8,5.309401449,7.561585148,Tameside
Tamworth,2.3,1.026851382,5.2,6.5,11.1,6.328373725,12.10779038,Tamworth
Tandridge,2.1,0.933629807,4.7,9.4,17.7,4.477009173,8.611820295,Tandridge
Taunton Deane,0.8,2.360645597,4.5,9,16.4,9.401376445,13.05619842,TauntonDeane
Teignbridge,1,0.311341685,2.4,4,8.9,2.702994086,4.634376956,Teignbridge
Telford and Wrekin,2.4,1.396638435,5.9,8.3,16.9,9.064841365,14.05854517,TelfordandWrekin
Tendring,0.4,0.497861752,2.2,2.9,6.3,1.921485575,5.409742714,Tendring
Test Valley,0.6,1.36210912,4.2,9.2,18.5,4.432827505,8.723549488,TestValley
Tewkesbury,2.5,1.211287829,3.4,10.3,14.9,3.386424951,6.213878291,Tewkesbury
Thanet,2.3,1.798664343,8.6,12.9,19,6.995990103,12.72364344,Thanet
Three Rivers,1.3,1.12328315,9.9,17.6,27,6.6570845,10.75249956,ThreeRivers
Thurrock,1.9,2.163829604,13.3,17.5,35.5,9.818889388,23.57836338,Thurrock
Tonbridge and Malling,2.4,1.18885945,3.2,8.8,15.5,4.642831892,9.160501769,TonbridgeandMalling
Torbay,0.7,1.379622835,3.1,6.1,10.4,4.869923739,8.025367992,Torbay
Torfaen / Tor-faen,0.6,0.075047397,2.2,4.4,4.8,1.596923478,1.870544222,TorfaenTorfaen
Torridge,1.2,0.515891041,-10000000,3,4.6,2.747211729,3.39443313,Torridge
Tower Hamlets,30,10.50132368,24.5,41.7,61.3,43.53231383,76.87800201,TowerHamlets
Trafford,1.8,0.773517883,6.8,14,21.4,6.246990493,9.471849663,Trafford
Tunbridge Wells,3.9,1.821816023,7,12.2,22.4,8.960527552,13.88597265,TunbridgeWells
Tyne and Wear (Met County),5.3,2.741197436,5.1,7.4,14.5,9.543240928,9.279296103,TyneandWearMetCounty
Uttlesford,1.4,0.696539434,10.6,14.1,15.1,6.056527591,10.03574637,Uttlesford
Vale of Glamorgan / Bro Morgannwg,0.9,0.33703696,4,5.6,7.3,3.168227427,3.652851395,ValeofGlamorganBroMorgannwg
Vale of White Horse,3.6,1.196303438,11.3,15.3,23.5,9.600894841,12.93032135,ValeofWhiteHorse
Wakefield,2.9,1.597789889,6.9,8.8,16.4,6.056395732,10.81860801,Wakefield
Walsall,2.9,0.988054715,6.5,12,22.3,7.782143049,14.86647809,Walsall
Waltham Forest,22.5,9.243056311,25.9,38.7,59.7,30.21283846,75.58869912,WalthamForest
Wandsworth,2.5,4.130021926,24.3,36.6,50.7,29.46889553,41.68740341,Wandsworth
Warrington,1.5,1.29377178,7.3,9.2,15.9,6.618488667,14.28821279,Warrington
Warwick,2.7,2.73769011,10.1,15.1,20.3,14.54302013,19.96593071,Warwick
Warwickshire,1.3,2.070194617,6.5,10.4,18.6,9.081275258,16.69929849,Warwickshire
Watford,6.5,2.935020209,12.2,24.5,49.9,22.18594029,35.78494215,Watford
Waveney,0.1,0.517315394,1.7,2.6,9.2,3.656212987,5.988571429,Waveney
Waverley,2.2,1.629961117,5,9.2,17.5,8.354340379,12.12373422,Waverley
Wealden,0.9,1.49220159,3.9,5.8,11.5,3.985403776,6.783869466,Wealden
Wellingborough,6.4,2.445521967,6.5,10.4,29.6,14.04253686,37.09731969,Wellingborough
Welwyn Hatfield,10.5,7.364662331,13.6,20.3,32.1,19.86950392,29.63713664,WelwynHatfield
West Berkshire,0.7,3.017253209,7.1,10.4,20.3,7.868041342,13.90626454,WestBerkshire
West Devon,0.8,0.490765141,5.7,7.5,8.4,3.92070646,5.899894187,WestDevon
West Dorset,1.3,1.245515905,5.1,8.2,8.9,4.714840899,6.042459552,WestDorset
West Dunbartonshire,1,-1000000,2.2,4.5,6.4,-1000000,2.659528538,WestDunbartonshire
West Lancashire,2.9,1.555819623,2.7,4.5,10.5,4.03876509,10.23719274,WestLancashire
West Lindsey,1.1,0.242875936,2.2,4.3,8.4,2.496426057,2.673555287,WestLindsey
West Lothian,2.1,-1000000,6.8,8.5,16.5,-1000000,8.392077878,WestLothian
West Midlands (Met County),7.5,2.535452413,11.7,18.6,33.6,16.29012976,24.42085753,WestMidlandsMetCounty
West Oxfordshire,2.1,1.126859846,5.6,9.3,15.4,6.73574176,12.12590299,WestOxfordshire
West Somerset,-0.1,1.047573568,3,6.1,6,4.955401388,13.89651763,WestSomerset
West Sussex,2.9,2.145410432,6.2,8.8,22.5,8.193039531,18.11888031,WestSussex
West Yorkshire (Met County),3.9,2.322997101,8.1,12.1,25.8,10.71065321,13.59648431,WestYorkshireMetCounty
Westminster,37.1,14.00846036,33.9,51,71.7,44.62187114,66.83069818,Westminster
Weymouth and Portland,1.2,0.700638069,4.8,9.5,7.8,2.967676799,6.702517341,WeymouthandPortland
Wigan,2.2,0.493439176,3.4,4,10.1,4.08283291,6.610532353,Wigan
Wiltshire,-1.8,1.143517823,4.8,9.2,15.5,5.085901365,8.600115077,Wiltshire
Winchester,1.7,2.15694173,5.9,9.3,15.6,7.288976346,10.19857544,Winchester
Windsor and Maidenhead,2,2.742225289,14.4,21.9,31.1,12.66681898,20.32168705,WindsorandMaidenhead
Wirral,0.1,0.375587324,3.5,4.7,8.1,2.291136167,3.725975222,Wirral
Woking,2,2.248876736,9,19,38.4,15.27659361,24.23326345,Woking
Wokingham,3,2.255054403,5.6,11.3,28.9,10.24228122,15.87158174,Wokingham
Wolverhampton,8,2.593704725,13.8,20.2,31.6,17.08355902,34.52590688,Wolverhampton
Worcester,4.2,3.014997813,8.9,9.9,21.6,11.84310813,19.88295318,Worcester
Worcestershire,3,1.663407968,5.1,6.8,15.2,6.464249391,12.76273078,Worcestershire
Worthing,1.6,0.893067014,3.7,6.5,21.8,6.767644215,14.0706454,Worthing
Wrexham / Wrecsam,1.9,1.462699626,3.7,5.9,14.5,5.032550655,11.83087895,WrexhamWrecsam
Wychavon,4.3,2.615588633,2.5,5,18.3,7.29606403,20.09076821,Wychavon
Wycombe,3.2,1.945450815,3.4,14.9,31.4,9.628649614,19.74201811,Wycombe
Wyre,1.6,1.508923702,-10000000,2.8,5.7,2.421527104,2.452997405,Wyre
Wyre Forest,1,0.329503914,1,3.1,8.2,2.452403355,4.778238536,WyreForest
York,6.5,3.732762982,5.8,9.6,14.8,14.00413693,13.00712967,York
