occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
"  Authors, writers and translators",3412,15.08,16.33,14.51,32841,28765,7,8,3
"  Arts officers, producers and directors",3416,17.8,19.24,16.77,41423,35205,12,8,3
"  Photographers, audio-visual and broadcasting equipment operators",3417,12.67,12.93,11.17,28490,21028,14,,3
  Graphic designers,3421,13.15,13.38,12.66,26639,25124,30,16,3
"  Product, clothing and related designers",3422,14.49,15.93,13.89,31747,28024,15,15,3
"  Sports coaches, instructors and officials",3442,12.81,12.78,13.15,23400,24261,12,,3
  Fitness instructors,3443,9.3,9.64,8.84,19374,16420,,,3
  Legal associate professionals,3520,14.8,16.18,14.01,34312,27168,19,39,3
"  Estimators, valuers and assessors",3531,15.05,15.72,14.08,32632,27897,29,13,3
  Insurance underwriters,3533,18.12,18.36,16.94,,29546,12,9,3
  Finance and investment analysts and advisers,3534,19.34,19.95,18.72,38908,,65,43,3
  Taxation experts,3535,24.63,25.07,22.14,45791,,9,6,3
  Importers and exporters,3536,13.15,12.86,13.06,,25508,,,3
  Financial and accounting technicians,3537,22.57,23.02,21.42,46481,,14,11,3
  Financial accounts managers,3538,19.66,22.42,17.29,44526,34167,48,47,3
  Business and related associate professionals n.e.c.,3539,14.62,15.82,13.62,31491,25195,70,77,3
  Buyers and procurement officers,3541,15.73,15.8,15.6,30928,30000,26,29,3
  Business sales executives,3542,15.41,16.35,13.9,35379,28365,153,67,3
  Marketing associate professionals,3543,14.49,15.04,14.23,30109,26747,52,70,3
  Estate agents and auctioneers,3544,11.55,11.98,11.11,29978,,11,10,3
  Sales accounts and business development managers,3545,22.63,23.85,21.25,49896,41372,349,196,3
  Conference and exhibition managers and organisers,3546,13.35,13.53,13.22,28171,25481,9,20,3
  Conservation and environmental associate professionals,3550,11.47,11.6,11.17,22580,20424,,,3
  Public services associate professionals,3561,17.24,17.45,16.63,35942,32543,42,36,3
  Human resources and industrial relations officers,3562,14.71,14.75,14.7,32718,28864,50,88,3
  Vocational and industrial trainers and instructors,3563,14.97,15.74,14.11,31317,27284,46,50,3
  Careers advisers and vocational guidance specialists,3564,13.9,12.93,13.95,25051,28807,,7,3
  Inspectors of standards and regulations,3565,15.23,15.3,14.64,32012,26112,13,,3
  Health and safety officers,3567,17.64,18.18,15.8,37530,29943,24,7,3
  National government administrative occupations,4112,12.57,13.01,12.32,26951,24419,56,69,4
  Local government administrative occupations,4113,13.25,14.18,12.45,29190,24071,17,33,4
  Officers of non-governmental organisations,4114,14.34,15.59,13.57,,23318,,4,4
  Credit controllers,4121,12,12.01,12,24256,23892,7,14,4
"  Book-keepers, payroll managers and wages clerks",4122,12.82,13.53,12.6,26347,23694,64,132,4
  Bank and post office clerks,4123,11.96,12.24,11.75,24080,21779,27,37,4
  Finance officers,4124,13.79,14.81,13.35,,24902,5,10,4
  Financial administrative occupations n.e.c.,4129,11.57,11.62,11.5,23235,22188,25,52,4
  Records clerks and assistants,4131,11.11,11.59,10.99,23433,20895,29,66,4
  Pensions and insurance clerks and assistants,4132,11.45,11.98,10.85,22602,21047,13,17,4
  Stock control clerks and assistants,4133,10.69,10.99,10.16,23320,20716,38,24,4
  Transport and distribution clerks and assistants,4134,11.63,11.96,11.08,26596,23537,33,17,4
  Library clerks and assistants,4135,10.84,10.42,10.85,19844,19801,,6,4
  Human resources administrative occupations,4138,10.69,9.68,10.76,,20879,,14,4
  Sales administrators,4151,10.94,11.18,10.87,23519,20765,15,43,4
  Other administrative occupations n.e.c.,4159,11.01,11.79,10.73,23954,20622,194,399,4
  Office managers,4161,15.57,17.29,15.08,36933,29793,48,104,4
  Office supervisors,4162,12.93,13.41,12.63,28257,24964,13,15,4
  Legal secretaries,4212,11.43,9.44,11.45,21060,21180,,17,4
  School secretaries,4213,10.12,10.93,10.08,21474,18812,,11,4
  Company secretaries,4214,12,16.09,11.98,,,,4,4
  Personal assistants and other secretaries,4215,14.17,13.51,14.21,27330,26716,8,109,4
  Receptionists,4216,9.27,9.45,9.26,18693,17347,14,102,4
  Typists and related keyboard occupations,4217,9.75,9.94,9.54,19868,,5,9,4
  Horticultural trades,5112,9.28,9.39,8.3,19362,,,,5
  Gardeners and landscape gardeners,5113,10.19,10.16,10.96,20547,21348,31,,5
  Groundsmen and greenkeepers,5114,9.38,9.44,8.89,20136,16882,40,,5
  Metal working production and maintenance fitters,5223,14.33,14.37,10.43,32345,24052,280,9,5
  Precision instrument makers and repairers,5224,12.22,11.91,15.17,26348,26377,9,,5
"  Vehicle technicians, mechanics and electricians",5231,12.38,12.37,9.71,27395,,121,,5
  Electricians and electrical fitters,5241,14.61,14.66,10.25,32492,,133,,5
  Electrical and electronic trades n.e.c.,5249,14.82,14.82,14.37,32573,28380,114,,5
"  Skilled metal, electrical and electronic trades supervisors",5250,16.04,16,16.26,35798,34669,36,,5
  Plumbers and heating and ventilating engineers,5314,14.41,14.43,12.79,31121,,52,,5
  Construction and building trades n.e.c.,5319,12.07,12.25,10.07,26051,,28,,5
  Painters and decorators,5323,11.81,11.85,9,24590,18391,21,,5
  Construction and building trades supervisors,5330,16.02,16.37,9.88,36869,,37,,5
  Upholsterers,5412,10.45,11.18,8.33,25547,15110,,,5
  Footwear and leather working trades,5413,9.77,10.68,8.91,21551,16279,,,5
  Printers,5422,12.72,12.86,8.81,26004,17761,13,,5
  Print finishing and binding workers,5423,10.52,10.68,8.54,23700,20145,11,,5
  Butchers,5431,9.52,9.52,9.11,21520,19794,26,,5
  Bakers and flour confectioners,5432,9.57,9.66,8.53,20631,15896,12,,5
  Fishmongers and poultry dressers,5433,9.09,9.09,8.88,18144,16911,,,5
  Chefs,5434,9.73,9.81,9.48,22000,20142,146,40,5
  Cooks,5435,8.7,8.49,8.73,19141,15494,6,18,5
  Catering and bar managers,5436,10.16,10.14,10.24,21841,19914,20,22,5
"  Glass and ceramics makers, decorators and finishers",5441,9.51,9.54,8.54,22836,16361,,,5
  Other skilled trades n.e.c.,5449,12.5,12.52,10.65,25512,22409,12,,5
  Nursery nurses and assistants,6121,8.5,8.54,8.49,18475,16088,5,94,6
  Playworkers,6123,8.9,8.21,8.86,19252,17385,,6,6
  Teaching assistants,6125,9.84,10.09,9.78,16519,16531,17,110,6
  Educational support assistants,6126,9.65,9.89,9.61,18408,15674,7,48,6
  Animal care services occupations n.e.c.,6139,9.1,10.28,8.66,23601,,6,12,6
  Nursing auxiliaries and assistants,6141,10.14,10.17,10.13,21221,19898,56,164,6
  Ambulance staff (excluding paramedics),6142,11.19,10.82,11.6,23192,23294,11,6,6
  Dental nurses,6143,9.79,8.83,9.92,17409,18786,,24,6
  Houseparents and residential wardens,6144,11.45,12.15,11.36,25069,21155,4,9,6
  Care workers and home carers,6145,9.02,9.31,8.99,19673,17693,84,276,6
  Senior care workers,6146,9.81,10.22,9.51,22675,18890,7,33,6
"  Undertakers, mortuary and crematorium assistants",6148,11.25,11.26,11.23,24100,21071,6,,6
  Sports and leisure assistants,6211,9.2,9.3,8.88,19304,17929,14,9,6
  Travel agents,6212,10.1,11.9,9.69,22511,19506,7,14,6
  Air travel assistants,6214,10.6,11.78,10.36,23390,,5,8,6
  Rail travel assistants,6215,17.06,17.1,14.52,35935,31537,17,5,6
